treatment;latency
linalool;8,23
linalool;12,39
linalool;15,26
linalool;8,28
linalool;11,09
linalool;11,63
linalool;22,33
linalool;16,42
linalool;19,71
control;15,25
control;22,78
control;18,34
control;7,23
control;13,81
control;25,57
control;20,63
control;7,09
